Arc3,AssistPts,AtRim,Corner3,LongMidRange,ShortMidRange,source,target,value,Season,teamId,Team,sourceName,targetName
0,38,16,0,0,3,2772,203991,19,2017-18,1610612745,Rockets,Trevor Ariza,Clint Capela
0,8,4,0,0,0,2772,204028,4,2017-18,1610612745,Rockets,Trevor Ariza,Tarik Black
25,109,7,6,0,1,101108,101123,39,2017-18,1610612745,Rockets,Chris Paul,Gerald Green
7,114,8,21,4,3,101108,200782,43,2017-18,1610612745,Rockets,Chris Paul,PJ Tucker
47,210,16,11,0,2,101108,201569,76,2017-18,1610612745,Rockets,Chris Paul,Eric Gordon
42,163,6,7,2,0,101108,201583,57,2017-18,1610612745,Rockets,Chris Paul,Ryan Anderson
19,98,15,3,0,1,101108,201601,38,2017-18,1610612745,Rockets,Chris Paul,Luc Mbah a Moute
24,84,1,2,0,2,101108,201935,29,2017-18,1610612745,Rockets,Chris Paul,James Harden
4,15,0,1,0,0,101123,201569,5,2017-18,1610612745,Rockets,Gerald Green,Eric Gordon
2,6,0,0,0,0,101123,201583,2,2017-18,1610612745,Rockets,Gerald Green,Ryan Anderson
